product_id,name,category_id,category_name,subcategory_id,subcategory_name,base_price_rwf,current_stock,is_active,creation_date
prod_00000,Isombe Cassava Leaves,cat_017,Packaging & Logistics,sub_017_02,Wrapping,18347.49,331,True,2024-10-22T11:49:22
prod_00001,Cement Bag 50kg Cimerwa,cat_001,Fresh Produce,sub_001_02,Herbs & Spices,19920.58,49,True,2024-10-12T06:34:49
prod_00002,PVC Pipe 2inch,cat_018,Hospitality & Catering,sub_018_01,Uniforms,17765.57,50,True,2024-12-03T14:04:43
prod_00003,Door Lock Yale,cat_007,Construction & Hardware,sub_007_02,Paint & Coating,2437.42,188,True,2024-12-06T13:45:02
prod_00004,Exercise Book 96pages,cat_002,Coffee & Tea,sub_002_01,Green Tea,13013.24,497,True,2024-11-27T23:27:03
prod_00005,Akabanga Chilli Oil,cat_006,Beauty & Personal Care,sub_006_04,Baby Care,4711.05,119,True,2024-12-24T10:32:14
prod_00006,Passion Fruit Tray,cat_008,Home & Kitchen,sub_008_01,Storage,19756.78,128,True,2024-11-22T10:47:35
prod_00007,Cement Bag 50kg Cimerwa,cat_000,Food & Beverages,sub_000_02,Beverages,15904.7,301,True,2024-10-24T02:25:14
prod_00008,Mosquito Net Treated,cat_016,Baby & Children,sub_016_00,Baby Food,15040.47,229,True,2024-11-16T05:44:00
prod_00009,PVC Pipe 2inch,cat_009,Agriculture & Farming,sub_009_03,Animal Feed,13045.14,31,True,2024-10-04T00:35:10
prod_00010,Door Lock Yale,cat_002,Coffee & Tea,sub_002_00,Arabica Coffee,6781.18,33,True,2024-10-15T09:38:34
prod_00011,Rwanda Arabica Coffee,cat_016,Baby & Children,sub_016_04,Safety Products,8888.89,359,True,2024-12-17T00:02:52
prod_00012,Nziza Body Lotion,cat_010,Education & Office,sub_010_03,Office Supplies,6594.21,191,True,2024-10-25T17:56:10
prod_00013,Paint Bucket 20L,cat_004,Clothing & Fashion,sub_004_04,Accessories,1669.63,287,True,2024-11-24T12:35:28
prod_00014,Power Bank 10000mAh,cat_001,Fresh Produce,sub_001_02,Herbs & Spices,12208.0,53,True,2024-11-04T03:23:42
prod_00015,Imishanana Traditional Dress,cat_003,Electronics & Tech,sub_003_02,Home Electronics,16984.78,58,True,2024-11-05T16:28:45
prod_00016,Nivea Roll-On,cat_000,Food & Beverages,sub_000_01,Grains & Flour,5828.77,158,True,2024-12-14T00:32:34
prod_00017,Amavuta Shea Butter,cat_002,Coffee & Tea,sub_002_01,Green Tea,14948.9,46,True,2024-10-03T23:26:10
prod_00018,Imishanana Traditional Dress,cat_005,Textiles & Crafts,sub_005_02,Imigongo Art,6576.93,397,True,2024-11-01T11:52:00
prod_00019,Mattress Foam Single,cat_014,Livestock & Poultry,sub_014_03,Goat Products,9970.4,212,True,2024-11-12T22:02:15
prod_00020,Sandals Handmade,cat_009,Agriculture & Farming,sub_009_00,Seeds & Seedlings,4800.11,28,True,2024-11-28T04:31:42
prod_00021,Isombe Cassava Leaves,cat_003,Electronics & Tech,sub_003_00,Mobile Phones,10199.01,89,True,2024-11-11T19:29:56
prod_00022,Nivea Roll-On,cat_013,Energy & Solar,sub_013_00,Solar Panels,9465.21,441,True,2024-10-08T13:25:58
prod_00023,Stapler Heavy Duty,cat_000,Food & Beverages,sub_000_02,Beverages,3851.53,235,True,2024-11-30T00:20:10
prod_00024,Mutzig Beer,cat_012,Automotive & Transport,sub_012_04,Bicycle Parts,2033.62,158,True,2024-12-24T12:28:08
prod_00025,Earphones Oraimo,cat_016,Baby & Children,sub_016_00,Baby Food,10846.79,463,True,2024-10-19T19:49:42
prod_00026,Electric Wire 2.5mm,cat_003,Electronics & Tech,sub_003_01,Solar Products,5491.38,308,True,2024-10-17T20:16:55
prod_00027,School Uniform Set,cat_018,Hospitality & Catering,sub_018_04,Decor,6802.56,161,True,2024-11-30T21:31:20
prod_00028,Impala Club Soda,cat_008,Home & Kitchen,sub_008_04,Furniture,1595.36,37,True,2024-11-19T06:10:50
prod_00029,Charcoal Stove Jiko,cat_019,Digital Services,sub_019_04,Software,10387.82,297,True,2024-11-14T22:11:46
prod_00030,PVC Pipe 2inch,cat_004,Clothing & Fashion,sub_004_00,Traditional Wear,9285.2,460,True,2024-12-18T17:41:22
prod_00031,Akagera Print T-Shirt,cat_016,Baby & Children,sub_016_04,Safety Products,12391.21,190,True,2024-11-05T07:56:37
prod_00032,Dettol Antiseptic,cat_002,Coffee & Tea,sub_002_02,Herbal Tea,2342.87,197,True,2024-12-05T20:44:18
prod_00033,Paint Bucket 20L,cat_004,Clothing & Fashion,sub_004_04,Accessories,14322.26,158,True,2024-10-09T05:24:34
prod_00034,Sweet Potato Bag,cat_016,Baby & Children,sub_016_02,Baby Clothing,855.5,92,True,2024-10-30T23:42:36
prod_00035,Toothpaste Colgate,cat_002,Coffee & Tea,sub_002_02,Herbal Tea,16966.35,259,True,2024-10-10T19:40:30
prod_00036,Savon Ivoirien Soap,cat_004,Clothing & Fashion,sub_004_01,Casual Wear,4026.5,394,True,2024-12-07T06:26:50
prod_00037,Roofing Nails 4inch,cat_007,Construction & Hardware,sub_007_03,Plumbing,12406.61,383,True,2024-12-13T01:11:54
prod_00038,Feature Phone Tecno,cat_006,Beauty & Personal Care,sub_006_02,Soap & Hygiene,13726.98,225,True,2024-11-25T09:10:24
prod_00039,Agaseke Woven Basket,cat_019,Digital Services,sub_019_01,Mobile Money,17523.54,328,True,2024-10-06T01:35:15
prod_00040,Coconut Hair Oil Rwanda,cat_002,Coffee & Tea,sub_002_01,Green Tea,5819.43,262,True,2024-12-27T21:30:58
prod_00041,Leather Shoes Kigali,cat_000,Food & Beverages,sub_000_03,Cooking Oil,1538.51,191,True,2024-11-18T17:45:40
prod_00042,Akabanga Chilli Oil,cat_003,Electronics & Tech,sub_003_02,Home Electronics,15931.92,19,True,2024-10-14T08:37:49
prod_00043,Cement Bag 50kg Cimerwa,cat_002,Coffee & Tea,sub_002_00,Arabica Coffee,5490.52,76,True,2024-12-21T01:36:18
prod_00044,Akabanga Chilli Oil,cat_019,Digital Services,sub_019_03,Photography,1724.74,463,True,2024-12-21T05:37:25
prod_00045,Inzoga ya Primus,cat_019,Digital Services,sub_019_02,Printing,5191.0,95,True,2024-11-10T10:40:22
prod_00046,Inyange Milk,cat_016,Baby & Children,sub_016_04,Safety Products,10392.89,283,True,2024-11-19T06:50:46
prod_00047,Window Glass Panel,cat_011,Health & Pharmacy,sub_011_00,Medicines OTC,7223.65,336,True,2024-12-11T03:52:34
prod_00048,Isombe Cassava Leaves,cat_015,Sports & Recreation,sub_015_01,Fitness,16324.2,366,True,2024-10-07T03:02:05
prod_00049,Ibirayi Fries,cat_010,Education & Office,sub_010_02,School Bags,10549.98,278,True,2024-12-19T04:02:01
prod_00050,Plastic Jerry Can 20L,cat_010,Education & Office,sub_010_02,School Bags,2927.26,223,True,2024-11-05T17:32:48
prod_00051,Sandals Handmade,cat_011,Health & Pharmacy,sub_011_04,Baby Health,5701.05,372,True,2024-10-09T00:29:55
prod_00052,Ubwiza Face Cream,cat_003,Electronics & Tech,sub_003_00,Mobile Phones,6894.44,156,True,2024-10-29T16:53:27
prod_00053,PVC Pipe 2inch,cat_019,Digital Services,sub_019_03,Photography,5853.83,485,True,2024-12-16T20:16:37
prod_00054,Nziza Body Lotion,cat_001,Fresh Produce,sub_001_01,Fruits,1811.05,330,True,2024-12-15T14:04:20
prod_00055,Vaseline Petroleum Jelly,cat_014,Livestock & Poultry,sub_014_00,Cattle Products,11691.47,187,True,2024-11-21T09:43:51
prod_00056,Electric Wire 2.5mm,cat_017,Packaging & Logistics,sub_017_00,Boxes & Cartons,5604.65,360,True,2024-10-26T06:31:08
prod_00057,School Uniform Set,cat_005,Textiles & Crafts,sub_005_03,Woven Mats,19946.62,349,True,2024-12-18T16:37:57
prod_00058,Plastic Jerry Can 20L,cat_005,Textiles & Crafts,sub_005_01,Agaseke Baskets,15977.08,114,True,2024-11-19T09:29:12
prod_00059,Sufuria Cooking Pot 5L,cat_000,Food & Beverages,sub_000_02,Beverages,11303.42,239,True,2024-11-05T19:37:31
prod_00060,Passion Fruit Tray,cat_016,Baby & Children,sub_016_03,School Items,15498.71,294,True,2024-12-19T22:31:11
prod_00061,Sweet Potato Bag,cat_017,Packaging & Logistics,sub_017_04,Cold Storage,4048.28,221,True,2024-10-13T12:40:06
prod_00062,Kitenge Fabric 2m,cat_009,Agriculture & Farming,sub_009_01,Fertilizers,3658.36,363,True,2024-12-30T18:05:49
prod_00063,Urwagwa Traditional Beer,cat_004,Clothing & Fashion,sub_004_02,School Uniforms,12481.35,257,True,2024-10-10T01:42:14
prod_00064,Urwagwa Traditional Beer,cat_002,Coffee & Tea,sub_002_00,Arabica Coffee,18996.66,295,True,2024-12-14T20:36:44
prod_00065,Sufuria Cooking Pot 5L,cat_015,Sports & Recreation,sub_015_04,Cycling,6148.6,247,True,2024-10-30T07:55:49
prod_00066,Passion Fruit Tray,cat_014,Livestock & Poultry,sub_014_01,Poultry,7133.76,160,True,2024-10-14T22:46:20
prod_00067,Vaseline Petroleum Jelly,cat_011,Health & Pharmacy,sub_011_04,Baby Health,11452.2,123,True,2024-10-31T23:35:38
prod_00068,Maize Flour 2kg,cat_019,Digital Services,sub_019_03,Photography,5341.27,461,True,2024-12-24T00:18:45
prod_00069,Door Lock Yale,cat_015,Sports & Recreation,sub_015_04,Cycling,9602.89,157,True,2024-12-25T08:23:41
prod_00070,Rukundo Tea Leaves,cat_007,Construction & Hardware,sub_007_01,Iron & Steel,11875.21,25,True,2024-10-05T17:22:54
prod_00071,Agaseke Woven Basket,cat_013,Energy & Solar,sub_013_01,Batteries,17707.89,187,True,2024-12-10T15:12:59
prod_00072,Savon Ivoirien Soap,cat_002,Coffee & Tea,sub_002_03,Instant Coffee,10332.98,281,True,2024-12-14T05:11:26
prod_00073,Roofing Nails 4inch,cat_004,Clothing & Fashion,sub_004_01,Casual Wear,12248.03,256,True,2024-11-08T23:17:58
prod_00074,Charcoal Stove Jiko,cat_016,Baby & Children,sub_016_03,School Items,3404.34,263,True,2024-12-26T17:08:51
prod_00075,Cavendish Banana Bundle,cat_016,Baby & Children,sub_016_04,Safety Products,10052.01,153,True,2024-11-24T15:42:30
prod_00076,Ibirayi Fries,cat_013,Energy & Solar,sub_013_04,Lighting,6499.72,371,True,2024-12-27T06:16:44
prod_00077,Cavendish Banana Bundle,cat_018,Hospitality & Catering,sub_018_03,Disposables,3824.99,369,True,2024-12-01T01:44:06
prod_00078,Roofing Nails 4inch,cat_006,Beauty & Personal Care,sub_006_00,Skin Care,9100.25,77,True,2024-11-10T15:49:43
prod_00079,Pillow Fiber,cat_001,Fresh Produce,sub_001_01,Fruits,10614.32,166,True,2024-11-24T10:57:39
prod_00080,Power Bank 10000mAh,cat_010,Education & Office,sub_010_04,Art Materials,7408.6,444,True,2024-12-14T22:51:59
prod_00081,Kitenge Fabric 2m,cat_009,Agriculture & Farming,sub_009_02,Tools & Equipment,14245.57,360,True,2024-12-07T00:22:32
prod_00082,Agaseke Woven Basket,cat_009,Agriculture & Farming,sub_009_00,Seeds & Seedlings,11682.8,194,True,2024-11-22T17:43:35
prod_00083,Imishanana Traditional Dress,cat_002,Coffee & Tea,sub_002_02,Herbal Tea,18518.19,131,True,2024-12-03T16:31:32
prod_00084,Mattress Foam Single,cat_017,Packaging & Logistics,sub_017_02,Wrapping,3176.82,379,True,2024-11-29T18:37:53
prod_00085,Akabanga Chilli Oil,cat_007,Construction & Hardware,sub_007_01,Iron & Steel,1523.58,169,True,2024-11-10T03:03:43
prod_00086,Umutsima Porridge,cat_017,Packaging & Logistics,sub_017_01,Bags & Sacks,8434.7,450,True,2024-12-30T18:46:57
prod_00087,MTN MoMo Agent Kit,cat_002,Coffee & Tea,sub_002_04,Coffee Accessories,5028.29,370,True,2024-12-11T17:15:51
prod_00088,Akagera Print T-Shirt,cat_001,Fresh Produce,sub_001_03,Mushrooms,15865.23,479,True,2024-10-19T02:08:15
prod_00089,Smartphone Android 4G,cat_009,Agriculture & Farming,sub_009_03,Animal Feed,19787.44,268,True,2024-11-22T17:58:54
prod_00090,Umushanana Set,cat_003,Electronics & Tech,sub_003_02,Home Electronics,3668.64,331,True,2024-11-14T13:20:53
prod_00091,Pineapple Crate Nyungwe,cat_018,Hospitality & Catering,sub_018_01,Uniforms,3922.15,327,True,2024-12-23T02:57:57
prod_00092,School Bag Primary,cat_015,Sports & Recreation,sub_015_02,Outdoor,18748.6,133,True,2024-10-01T15:54:55
prod_00093,Nivea Roll-On,cat_000,Food & Beverages,sub_000_02,Beverages,13246.83,120,True,2024-12-07T06:16:04
prod_00094,Door Lock Yale,cat_016,Baby & Children,sub_016_02,Baby Clothing,13960.66,469,True,2024-12-02T00:18:18
prod_00095,Electric Wire 2.5mm,cat_019,Digital Services,sub_019_02,Printing,8608.99,467,True,2024-11-23T07:48:32
prod_00096,PVC Pipe 2inch,cat_016,Baby & Children,sub_016_02,Baby Clothing,2023.0,57,True,2024-11-24T18:36:30
prod_00097,Calculator Casio,cat_003,Electronics & Tech,sub_003_01,Solar Products,14479.9,46,True,2024-11-17T11:03:06
prod_00098,Isombe Cassava Leaves,cat_001,Fresh Produce,sub_001_04,Flowers,9516.38,157,True,2024-12-18T08:14:56
prod_00099,Iron Sheet 3m,cat_013,Energy & Solar,sub_013_02,Inverters,14157.51,30,True,2024-11-22T13:00:08
prod_00100,Bed Sheet Cotton,cat_005,Textiles & Crafts,sub_005_01,Agaseke Baskets,15433.64,330,True,2024-12-10T19:22:03
prod_00101,Bed Sheet Cotton,cat_004,Clothing & Fashion,sub_004_02,School Uniforms,2813.35,201,True,2024-11-22T03:54:10
prod_00102,Cavendish Banana Bundle,cat_013,Energy & Solar,sub_013_04,Lighting,7895.89,126,True,2024-10-23T07:09:21
prod_00103,Ikivuguto Yoghurt,cat_001,Fresh Produce,sub_001_03,Mushrooms,12491.0,452,True,2024-12-30T21:35:32
prod_00104,Bed Sheet Cotton,cat_014,Livestock & Poultry,sub_014_04,Beekeeping,13604.46,24,True,2024-12-24T16:24:08
prod_00105,School Uniform Set,cat_006,Beauty & Personal Care,sub_006_00,Skin Care,3232.64,119,True,2024-10-29T02:01:57
prod_00106,Coconut Hair Oil Rwanda,cat_004,Clothing & Fashion,sub_004_04,Accessories,4810.33,140,True,2024-10-30T04:13:04
prod_00107,Power Bank 10000mAh,cat_012,Automotive & Transport,sub_012_04,Bicycle Parts,6715.32,209,True,2024-11-10T10:06:24
prod_00108,Solar Lantern LifeLight,cat_009,Agriculture & Farming,sub_009_01,Fertilizers,16212.64,29,True,2024-12-28T19:30:05
prod_00109,Smartphone Android 4G,cat_010,Education & Office,sub_010_00,Stationery,18483.41,189,True,2024-12-22T05:57:49
prod_00110,Fresh Avocado Pack,cat_018,Hospitality & Catering,sub_018_04,Decor,4731.82,445,True,2024-10-21T06:44:48
prod_00111,Agaseke Woven Basket,cat_015,Sports & Recreation,sub_015_01,Fitness,14064.71,104,True,2024-12-08T07:53:58
prod_00112,Nziza Body Lotion,cat_012,Automotive & Transport,sub_012_03,Car Accessories,10906.18,157,True,2024-11-04T21:08:07
prod_00113,Printer Paper A4 Ream,cat_010,Education & Office,sub_010_03,Office Supplies,1391.45,113,True,2024-12-23T21:27:49
prod_00114,Inkorora Storage Basket,cat_018,Hospitality & Catering,sub_018_03,Disposables,6256.25,168,True,2024-10-20T01:09:35
prod_00115,Mutzig Beer,cat_015,Sports & Recreation,sub_015_03,Games,3780.56,180,True,2024-12-17T04:25:37
prod_00116,Sufuria Cooking Pot 5L,cat_001,Fresh Produce,sub_001_00,Vegetables,8541.65,322,True,2024-12-21T19:16:17
prod_00117,Steel Rod 12mm,cat_015,Sports & Recreation,sub_015_00,Football Equipment,628.94,210,True,2024-11-23T13:25:21
prod_00118,Nivea Roll-On,cat_005,Textiles & Crafts,sub_005_00,Kitenge Fabric,18401.95,76,True,2024-11-20T21:54:23
prod_00119,Toothpaste Colgate,cat_014,Livestock & Poultry,sub_014_04,Beekeeping,5242.55,115,True,2024-12-07T16:40:42
prod_00120,Akagera Print T-Shirt,cat_012,Automotive & Transport,sub_012_04,Bicycle Parts,9782.1,4,True,2024-12-01T19:43:50
prod_00121,Kitenge Fabric 2m,cat_018,Hospitality & Catering,sub_018_00,Restaurant Equipment,17948.43,21,True,2024-12-29T05:46:47
prod_00122,Dettol Antiseptic,cat_017,Packaging & Logistics,sub_017_04,Cold Storage,13333.13,475,True,2024-10-18T09:55:34
prod_00123,Pineapple Crate Nyungwe,cat_002,Coffee & Tea,sub_002_02,Herbal Tea,3667.78,290,True,2024-10-24T08:20:26
prod_00124,Dettol Antiseptic,cat_002,Coffee & Tea,sub_002_04,Coffee Accessories,15036.4,27,True,2024-11-03T13:54:39
prod_00125,Fanta Citron,cat_010,Education & Office,sub_010_00,Stationery,12865.4,230,True,2024-12-16T01:47:58
prod_00126,Sweet Potato Bag,cat_019,Digital Services,sub_019_02,Printing,16062.08,37,True,2024-12-09T05:39:47
prod_00127,Solar Home System 50W,cat_012,Automotive & Transport,sub_012_02,Tyres,7533.65,2,True,2024-10-09T21:15:29
prod_00128,Sandals Handmade,cat_013,Energy & Solar,sub_013_03,Gas & LPG,11361.21,208,True,2024-11-19T18:04:25
prod_00129,School Uniform Set,cat_012,Automotive & Transport,sub_012_00,Spare Parts,6191.02,398,True,2024-11-07T15:38:18
prod_00130,Smart TV 32inch,cat_008,Home & Kitchen,sub_008_03,Cleaning,3345.73,222,True,2024-10-17T05:37:17
prod_00131,Toothpaste Colgate,cat_015,Sports & Recreation,sub_015_04,Cycling,12525.04,54,True,2024-11-14T10:53:41
prod_00132,MTN MoMo Agent Kit,cat_010,Education & Office,sub_010_03,Office Supplies,7027.36,421,True,2024-12-19T04:11:44
prod_00133,Calculator Casio,cat_012,Automotive & Transport,sub_012_02,Tyres,6183.24,324,True,2024-12-07T11:22:08
prod_00134,Solar Lantern LifeLight,cat_006,Beauty & Personal Care,sub_006_04,Baby Care,19946.67,349,True,2024-10-18T11:15:38
prod_00135,Decoder StarTimes,cat_014,Livestock & Poultry,sub_014_02,Fish & Seafood,16710.0,419,True,2024-10-07T17:09:04
prod_00136,Cement Bag 50kg Cimerwa,cat_004,Clothing & Fashion,sub_004_03,Shoes & Sandals,15887.0,229,True,2024-10-08T04:21:04
prod_00137,Ubwiza Face Cream,cat_017,Packaging & Logistics,sub_017_00,Boxes & Cartons,15919.06,359,True,2024-11-04T21:45:51
prod_00138,Gas Cylinder 15kg,cat_005,Textiles & Crafts,sub_005_04,Jewelry,1363.79,346,True,2024-12-02T15:01:53
prod_00139,Sweet Potato Bag,cat_016,Baby & Children,sub_016_04,Safety Products,11820.11,113,True,2024-11-25T20:23:44
prod_00140,Irish Potato 5kg,cat_011,Health & Pharmacy,sub_011_00,Medicines OTC,9914.04,212,True,2024-10-29T16:24:25
prod_00141,School Uniform Set,cat_011,Health & Pharmacy,sub_011_02,First Aid,7189.8,105,True,2024-12-16T03:28:53
prod_00142,MTN MoMo Agent Kit,cat_001,Fresh Produce,sub_001_00,Vegetables,940.41,331,True,2024-11-03T07:25:46
prod_00143,Dettol Antiseptic,cat_017,Packaging & Logistics,sub_017_01,Bags & Sacks,6954.3,490,True,2024-11-11T09:30:45
prod_00144,Kitenge Fabric 2m,cat_000,Food & Beverages,sub_000_04,Snacks & Confectionery,17720.4,303,True,2024-11-13T15:35:08
prod_00145,Inkorora Storage Basket,cat_002,Coffee & Tea,sub_002_04,Coffee Accessories,2484.16,274,True,2024-12-24T15:51:32
prod_00146,School Uniform Set,cat_016,Baby & Children,sub_016_02,Baby Clothing,12140.93,200,True,2024-11-29T08:27:06
prod_00147,Vaseline Petroleum Jelly,cat_019,Digital Services,sub_019_04,Software,2152.66,160,True,2024-10-14T00:07:15
prod_00148,Inkorora Storage Basket,cat_013,Energy & Solar,sub_013_04,Lighting,3188.41,216,True,2024-11-07T06:06:32
prod_00149,Biro Pen Box,cat_009,Agriculture & Farming,sub_009_01,Fertilizers,4148.42,230,True,2024-12-21T17:58:03
prod_00150,Power Bank 10000mAh,cat_016,Baby & Children,sub_016_03,School Items,8478.12,212,True,2024-11-17T17:48:15
prod_00151,Gas Cylinder 15kg,cat_009,Agriculture & Farming,sub_009_00,Seeds & Seedlings,5859.63,147,True,2024-11-22T04:43:07
prod_00152,PVC Pipe 2inch,cat_003,Electronics & Tech,sub_003_04,Network Equipment,2727.03,278,True,2024-12-15T06:08:39
prod_00153,Ikivuguto Yoghurt,cat_017,Packaging & Logistics,sub_017_01,Bags & Sacks,19800.63,376,True,2024-10-10T22:38:51
prod_00154,Stapler Heavy Duty,cat_014,Livestock & Poultry,sub_014_02,Fish & Seafood,7297.25,44,True,2024-12-19T07:06:55
prod_00155,Umutsima Porridge,cat_011,Health & Pharmacy,sub_011_04,Baby Health,12839.03,315,True,2024-10-17T02:45:54
prod_00156,Rwanda Arabica Coffee,cat_018,Hospitality & Catering,sub_018_02,Cleaning Products,10879.48,275,True,2024-11-27T22:46:45
prod_00157,Irish Potato 5kg,cat_004,Clothing & Fashion,sub_004_03,Shoes & Sandals,18415.99,443,True,2024-10-27T22:12:38
prod_00158,Kitenge Fabric 2m,cat_018,Hospitality & Catering,sub_018_02,Cleaning Products,12742.35,231,True,2024-11-06T10:12:53
prod_00159,Inzoga ya Primus,cat_011,Health & Pharmacy,sub_011_03,Medical Devices,19029.95,297,True,2024-11-01T18:38:21
prod_00160,Passion Fruit Tray,cat_017,Packaging & Logistics,sub_017_03,Labels,4747.68,422,True,2024-11-11T17:08:27
prod_00161,Door Lock Yale,cat_018,Hospitality & Catering,sub_018_03,Disposables,15871.92,349,True,2024-12-26T19:31:52
prod_00162,School Uniform Set,cat_000,Food & Beverages,sub_000_00,Dairy Products,18623.94,225,True,2024-10-16T08:07:41
prod_00163,Phone Charger USB-C,cat_005,Textiles & Crafts,sub_005_02,Imigongo Art,2320.13,128,True,2024-11-04T23:52:31
prod_00164,PVC Pipe 2inch,cat_013,Energy & Solar,sub_013_00,Solar Panels,14222.11,109,True,2024-10-01T02:31:52
